,MAPE
0,3.5525970162920983
1,3.411554571928171
2,3.44720014090613
3,3.7993756187708345
4,3.6360887111522104
5,3.3532899803457537
6,3.615960695471774
7,3.5800625839211437
8,3.4532716246719093
9,3.777397363224083
10,3.2700093067641873
11,3.5470033559646676
12,3.4599360912598462
13,3.81243179778301
14,3.5934942271054298
15,3.4754505445755406
16,3.4871215833887157
17,2.9626110721728196
18,3.627610999416713
19,3.8284827677519107
20,3.7032247437829025
21,3.769510009358067
22,3.0511600827401577
23,3.4734403635287694
24,3.9891046390098914
25,3.721860795452884
26,3.564583965921012
27,3.415977234816676
28,3.302528293196465
29,3.3116844036223436
30,3.628435734668093
31,3.774217606379171
32,3.3048188318027143
33,3.4372053157786566
34,3.3275015272569077
35,3.517544541749931
36,3.3525605042053273
37,3.300515699475376
38,3.449392952741825
39,3.473016776017193
40,3.4493113413171543
41,3.7316537792096263
42,3.98202699865451
43,3.2681344627270525
44,3.8719941695513165
45,3.2811313493034686
46,3.0446526556875195
47,3.8753119708129216
48,3.401709935383051
49,3.2796543335381405
50,3.6937331888283746
51,3.7545801442729334
52,3.2813658133066785
53,3.598690357225088
54,3.561002447487281
55,3.4923848939794637
56,3.212144526625867
57,3.545104211312291
58,3.8860589910866765
59,3.3509461287409796
60,3.657196839173421
61,3.5685999322502693
62,3.8992632586910787
63,3.876448325103327
64,3.312385508499602
65,3.5192070321631213
66,3.5246846747469114
67,3.385866479446737
68,3.529952638669467
69,3.4162009168283993
70,3.1497792057423744
71,3.616357801194958
72,3.524190547538032
73,3.828161686126501
74,3.168014214025338
75,3.5553454423475657
76,3.3560510100950385
77,3.63498860518124
78,3.4556408718917067
79,3.3502923587499835
80,3.4343873474714357
81,3.2248902249345655
82,3.6705931278127495
83,3.4036046309560835
84,3.555888246544814
85,3.420979911566087
86,3.760453726383091
87,3.5437702934210265
88,3.1880955012792724
89,3.556623133775899
90,4.145692557665396
91,3.430461793644936
92,3.139866601947936
93,3.647290934062069
94,3.910558399449625
95,3.4877618399320656
96,3.2123104171764303
97,3.661590565856747
98,3.5414714425589424
99,3.445250293533336
100,3.560139851077164
101,3.273120879156764
102,3.5552738992624433
103,3.487605348552261
104,3.213693771376198
105,3.323768453616815
106,3.243082144218265
107,3.2385227103787764
108,3.248858917058064
109,3.1501911903853155
110,3.5491278232367782
111,3.310336853718182
112,3.4052787780460947
113,3.6768249901439423
114,3.332793277525744
115,4.079732201922287
116,3.78363969382967
117,3.4537115422174605
118,3.4544180466489816
119,3.5910785651717347
120,3.4910197627353843
121,3.3169788948705428
122,3.7787187318845685
123,3.4381875809342373
124,3.5004723712872567
125,3.1623967748229895
126,3.3300434227036866
127,3.424667143083967
128,3.710509212361661
129,3.3962817953852475
130,3.2121104568732046
131,3.3239667522726926
132,3.425591771812256
133,3.7085408368362027
134,3.8656865327005403
135,3.672044536624932
136,3.478354624120415
137,3.0884961316912336
138,3.6031621590222698
139,3.791017617754878
140,3.375871093748577
141,3.348964327917397
142,3.710846296452502
143,3.3646149962997502
144,3.6020559993093078
145,3.486586589481965
146,3.4734324248136113
147,3.233458522559509
148,3.742138738112041
149,3.4938499999973947
150,3.2285116937749265
151,3.506133742570004
152,3.3103072496930905
153,3.7884901895370784
154,3.2974029230730757
155,3.2500135768305536
156,3.6635635576104657
157,3.5106525193665497
158,3.6778855648767412
159,3.579212114731623
160,3.4004059258007544
161,3.379037856399736
162,3.227238693951746
163,3.5826959992130525
164,3.6623973584010745
165,3.5907226748024477
166,3.7686449308073926
167,3.719476718746447
168,3.5700411943999666
169,3.7435257725865156
170,3.6600445123469805
171,3.4244286449068713
172,3.3634062733229073
173,3.8876049340227716
174,3.4091984679358647
175,3.569095237597469
176,3.539858599942382
177,3.5354046761807614
178,3.495804316507948
179,3.8426788194909705
180,3.8419779669781207
181,2.9987009469607027
182,3.8376979592768734
183,3.4012296730468647
184,3.622048899646724
185,3.538474510569691
186,3.4045854890619682
187,3.516908963019031
188,3.4238302268521834
189,3.5342295067597345
190,3.481307059819042
191,3.7211480118215334
192,3.021659415056996
193,3.9468586674252477
194,3.3030615668640664
195,3.7725866816790234
196,3.575576454728866
197,3.3327606954743465
198,3.1418116465713446
199,3.668546482389363
200,3.507905723556512
201,0.21793732203001093
