,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.064,0.062,-0.18,0.053,0.0,0.0,237321.0,151469.0,1.0
beta[BIOIDEAL],0.102,0.086,-0.057,0.265,0.0,0.0,211463.0,148933.0,1.0
beta[BWR-LS],0.107,0.086,-0.052,0.27,0.0,0.0,213734.0,151800.0,1.0
beta[MXBONNEL],0.105,0.086,-0.056,0.266,0.0,0.0,217570.0,147690.0,1.0
beta[HYSPR],0.147,0.084,-0.013,0.305,0.0,0.0,212290.0,150800.0,1.0
beta[SR-POLAR],0.154,0.085,-0.005,0.315,0.0,0.0,212801.0,153548.0,1.0
beta[PR-BM],0.155,0.086,-0.004,0.317,0.0,0.0,217037.0,150763.0,1.0
beta1[0],0.013,0.084,-0.147,0.169,0.0,0.0,214850.0,148105.0,1.0
beta1[1],0.005,0.085,-0.156,0.163,0.0,0.0,212316.0,147186.0,1.0
beta1[2],0.013,0.084,-0.146,0.171,0.0,0.0,217349.0,148222.0,1.0
beta1[3],-0.013,0.059,-0.124,0.098,0.0,0.0,177067.0,145406.0,1.0
beta1[4],-0.007,0.081,-0.161,0.145,0.0,0.0,164351.0,147985.0,1.0
beta1[5],-0.009,0.081,-0.163,0.142,0.0,0.0,183661.0,152600.0,1.0
beta2[0],-0.005,0.08,-0.152,0.148,0.0,0.0,195809.0,138257.0,1.0
beta2[1],0.0,0.082,-0.155,0.156,0.0,0.0,200905.0,140804.0,1.0
beta2[2],0.002,0.082,-0.151,0.157,0.0,0.0,193054.0,139141.0,1.0
beta2[3],0.049,0.03,-0.006,0.105,0.0,0.0,166213.0,144668.0,1.0
beta2[4],0.008,0.03,-0.049,0.065,0.0,0.0,154642.0,143467.0,1.0
beta2[5],0.005,0.026,-0.043,0.054,0.0,0.0,144965.0,143705.0,1.0
